date,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,hcLabel
0,0.151911503,0,0.026786707,0.093233274,-0.04858716,0.097037018,-0.015984862,-0.008299616,0.066615027,-0.066329166,-0.117282262,-0.082927564,0.042029554,0.09549596,0.11983829,0.021065391,0.005302506,-0.056199683,-0.049825743,0.109503772,0.100847369
1,0.130747469,0.100847369,-0.021757956,-0.518702734,0.093233274,0.068548759,0.097037018,0.114960797,0.030686906,-0.061782787,-0.089891831,-0.06184913,-0.033836411,0.086030452,0.090851334,0.081468394,-0.009110066,-0.076939191,-0.056684734,0.134637281,0.042003231
2,0.115746791,0.042003231,0.066615027,-0.058258295,-0.518702734,-0.019923157,0.068548759,0.151906713,0.05801934,-0.08937247,-0.095569389,0.037946369,-0.07881568,0.116631971,0.136223585,0.048490782,0.006602286,-0.019390582,-0.098024404,0.031045299,-0.040310078
3,0.127505963,-0.040310078,-0.020852786,-0.079894757,-0.058258295,-0.018588261,-0.019923157,0.105473264,0.030417839,-0.041601826,0.04805915,0.037886341,-0.075069162,0.075337693,0.149759645,0.073041696,-0.018243792,-0.056595106,0.043660306,-0.057222414,0.011403592
4,0.204996061,0.011403592,0.008582327,0.058864556,-0.079894757,0.006305963,-0.018588261,0.113400983,0.057762532,-0.025975426,0.00880722,0.052534142,-0.007509387,-0.012672538,0.145115159,0.10709286,-0.001331469,-0.051973871,-0.014982438,-0.110142055,0.037771305
5,0.18930603,0.037771305,0,-0.066130945,0.058864556,-0.003122073,0.006305963,0.155455592,-0.008299616,0.066615027,-0.066329166,-0.003010564,-0.082927564,0.042029554,0.09549596,0.11983829,0.021065391,0.005302506,-0.056199683,-0.020735621,-0.03639656
6,0.291306871,-0.03639656,0.004202122,0.005642545,-0.066130945,-0.022929623,-0.003122073,0.011403592,0.114960797,0.030686906,-0.061782787,-0.055164253,-0.06184913,-0.033836411,0.086030452,0.090851334,0.081468394,-0.009110066,-0.076939191,-0.044779448,0.086817627
7,0.195797517,0.086817627,0,-0.019708234,0.005642545,-0.074936465,-0.022929623,0.054901961,0.151906713,0.05801934,-0.08937247,-0.11796398,0.037946369,-0.07881568,0.116631971,0.136223585,0.048490782,0.006602286,-0.019390582,-0.084917901,-0.045128382
8,0.275758827,-0.045128382,0.100847369,-0.040208915,-0.019708234,0.08001683,-0.074936465,0.049605626,0.105473264,0.030417839,-0.041601826,-0.141833476,0.037886341,-0.075069162,0.075337693,0.149759645,0.073041696,-0.018243792,-0.056595106,-0.040913982,-0.003621548
9,0.262491156,-0.003621548,0.042003231,-0.059932911,-0.040208915,-0.018401815,0.08001683,0.034012966,0.113400983,0.057762532,-0.025975426,-0.198348161,0.052534142,-0.007509387,-0.012672538,0.145115159,0.10709286,-0.001331469,-0.051973871,-0.004479754,-0.018264425
10,0.255640124,-0.018264425,-0.040310078,0.019110301,-0.059932911,-0.045010973,-0.018401815,-0.021819828,0.155455592,-0.008299616,0.066615027,-0.05622049,-0.003010564,-0.082927564,0.042029554,0.09549596,0.11983829,0.021065391,0.005302506,-0.029905814,0.111532766
11,0.090575275,0.111532766,0.011403592,0.103174603,0.019110301,0.024055151,-0.045010973,0.128347271,0.011403592,0.114960797,0.030686906,-0.506589933,-0.055164253,-0.06184913,-0.033836411,0.086030452,0.090851334,0.081468394,-0.009110066,-0.062357006,0.043467399
12,0.088897086,0.043467399,0.037771305,-0.025532515,0.103174603,-0.0397947,0.024055151,0.083340538,0.054901961,0.151906713,0.05801934,-0.546742292,-0.11796398,0.037946369,-0.07881568,0.116631971,0.136223585,0.048490782,0.006602286,-0.061849117,-0.012848137
13,-0.037068121,-0.012848137,-0.03639656,-0.063911407,-0.025532515,0.052432688,-0.0397947,0.119963785,0.049605626,0.105473264,0.030417839,-0.566224965,-0.141833476,0.037886341,-0.075069162,0.075337693,0.149759645,0.073041696,-0.018243792,-0.162019575,0.064995958
14,-0.09418066,0.064995958,0.086817627,0,-0.063911407,-0.051237834,0.052432688,0.197092231,0.034012966,0.113400983,0.057762532,-0.5172348,-0.198348161,0.052534142,-0.007509387,-0.012672538,0.145115159,0.10709286,-0.001331469,-0.090843547,0
15,-0.031431582,0,-0.045128382,-0.059073687,0,-0.044493688,-0.051237834,0.219363199,-0.021819828,0.155455592,-0.008299616,-0.587609075,-0.05622049,-0.003010564,-0.082927564,0.042029554,0.09549596,0.11983829,0.021065391,-0.150855145,-0.027478366
16,-0.075040971,-0.027478366,-0.003621548,0.02974772,-0.059073687,-0.08528768,-0.044493688,0.066866517,0.128347271,0.011403592,0.114960797,-0.138333233,-0.506589933,-0.055164253,-0.06184913,-0.033836411,0.086030452,0.090851334,0.081468394,-0.008988372,-0.01881049
17,0.004841377,-0.01881049,-0.018264425,0.044848775,0.02974772,0.041762812,-0.08528768,0.003192084,0.083340538,0.054901961,0.151906713,-0.103061028,-0.546742292,-0.11796398,0.037946369,-0.07881568,0.116631971,0.136223585,0.048490782,0.062278507,0.108662795
18,-0.112515008,0.108662795,0.111532766,-0.073627129,0.044848775,-0.017036288,0.041762812,0.126677445,0.119963785,0.049605626,0.105473264,-0.06437439,-0.566224965,-0.141833476,0.037886341,-0.075069162,0.075337693,0.149759645,0.073041696,0.10868017,0.002870058
19,-0.008532216,0.002870058,0.043467399,-0.019869734,-0.073627129,0.107272019,-0.017036288,0.060953393,0.197092231,0.034012966,0.113400983,-0.169345277,-0.5172348,-0.198348161,0.052534142,-0.007509387,-0.012672538,0.145115159,0.10709286,0.04446389,-0.005795235
20,-0.058472235,-0.005795235,-0.012848137,0,-0.019869734,0.024219888,0.107272019,0.054804919,0.219363199,-0.021819828,0.155455592,-0.09352518,-0.587609075,-0.05622049,-0.003010564,-0.082927564,0.042029554,0.09549596,0.11983829,0.077087854,-0.023100173
21,-0.113721942,-0.023100173,0.064995958,0.003364738,0,-0.045331894,0.024219888,0.059553544,0.066866517,0.128347271,0.011403592,-0.005610885,-0.138333233,-0.506589933,-0.055164253,-0.06184913,-0.033836411,0.086030452,0.090851334,0.035827345,-0.023646409
22,-0.07023361,-0.023646409,0,0.040409121,0.003364738,-0.018577522,-0.045331894,0.054331398,0.003192084,0.083340538,0.054901961,-0.011518924,-0.103061028,-0.546742292,-0.11796398,0.037946369,-0.07881568,0.116631971,0.136223585,-0.043860079,-0.021201147
23,-0.085628473,-0.021201147,-0.027478366,0.012973409,0.040409121,0.01366671,-0.018577522,-0.069168401,0.126677445,0.119963785,0.049605626,-0.035929929,-0.06437439,-0.566224965,-0.141833476,0.037886341,-0.075069162,0.075337693,0.149759645,0.046430957,0.04640407
24,-0.119404265,0.04640407,-0.01881049,0.047967544,0.012973409,0.064855232,0.01366671,-0.028761537,0.060953393,0.197092231,0.034012966,0.025533265,-0.169345277,-0.5172348,-0.198348161,0.052534142,-0.007509387,-0.012672538,0.145115159,0.043644456,-0.017753223
25,-0.181617587,-0.017753223,0.108662795,0.088355852,0.047967544,-0.054574561,0.064855232,-0.040443293,0.054804919,0.219363199,-0.021819828,-0.05314348,-0.09352518,-0.587609075,-0.05622049,-0.003010564,-0.082927564,0.042029554,0.09549596,0.031639848,0
26,-0.165760201,0,0.002870058,-0.002789789,0.088355852,0.044820155,-0.054574561,-0.017753223,0.059553544,0.066866517,0.128347271,-0.116165891,-0.005610885,-0.138333233,-0.506589933,-0.055164253,-0.06184913,-0.033836411,0.086030452,-0.081352479,-0.078296085
27,-0.192155204,-0.078296085,-0.005795235,-0.036508603,-0.002789789,-0.021190915,0.044820155,-0.07273276,0.054331398,0.003192084,0.083340538,-0.052330631,-0.011518924,-0.103061028,-0.546742292,-0.11796398,0.037946369,-0.07881568,0.116631971,-0.05151624,0.029373474
